timestamp,commit,network,batch_size,repetition,individual_total_gas,merkle_batch_gas,individual_gas_per_model,merkle_gas_per_model,model_id_length
2026-08-10T12:18:51.152Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,1,94213,163419,94213,163419,24
2026-08-10T12:18:51.162Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,2,94177,163383,94177,163383,24
2026-08-10T12:18:51.171Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,3,94213,163419,94213,163419,24
2026-08-10T12:18:51.180Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,4,94213,163419,94213,163419,24
2026-08-10T12:18:51.189Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,5,94213,163419,94213,163419,24
2026-08-10T12:18:51.198Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,6,94213,163419,94213,163419,24
2026-08-10T12:18:51.213Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,7,94201,163407,94201,163407,24
2026-08-10T12:18:51.222Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,8,94201,163407,94201,163407,24
2026-08-10T12:18:51.231Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,9,94213,163419,94213,163419,24
2026-08-10T12:18:51.240Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,10,94213,163419,94213,163419,24
2026-08-10T12:18:51.250Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,11,94213,163419,94213,163419,24
2026-08-10T12:18:51.260Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,12,94213,163419,94213,163419,24
2026-08-10T12:18:51.269Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,13,94213,163419,94213,163419,24
2026-08-10T12:18:51.282Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,14,94189,163395,94189,163395,24
2026-08-10T12:18:51.290Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,15,94201,163407,94201,163407,24
2026-08-10T12:18:51.299Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,16,94189,163395,94189,163395,24
2026-08-10T12:18:51.307Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,17,94213,163419,94213,163419,24
2026-08-10T12:18:51.316Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,18,94201,163407,94201,163407,24
2026-08-10T12:18:51.329Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,19,94213,163419,94213,163419,24
2026-08-10T12:18:51.343Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,20,94213,163419,94213,163419,24
2026-08-10T12:18:51.352Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,21,94213,163419,94213,163419,24
2026-08-10T12:18:51.361Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,22,94213,163419,94213,163419,24
2026-08-10T12:18:51.369Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,23,94213,163419,94213,163419,24
2026-08-10T12:18:51.377Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,24,94213,163419,94213,163419,24
2026-08-10T12:18:51.385Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,25,94213,163419,94213,163419,24
2026-08-10T12:18:51.394Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,26,94213,163419,94213,163419,24
2026-08-10T12:18:51.404Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,27,94213,163419,94213,163419,24
2026-08-10T12:18:51.411Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,28,94213,163419,94213,163419,24
2026-08-10T12:18:51.428Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,29,94213,163419,94213,163419,24
2026-08-10T12:18:51.450Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,1,30,94213,163419,94213,163419,24
2026-08-10T12:18:51.467Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,1,188426,210546,94213,105273,24
2026-08-10T12:18:51.481Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,2,188426,210546,94213,105273,24
2026-08-10T12:18:51.491Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,3,188426,210546,94213,105273,24
2026-08-10T12:18:51.500Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,4,188426,210546,94213,105273,24
2026-08-10T12:18:51.510Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,5,188426,210546,94213,105273,24
2026-08-10T12:18:51.519Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,6,188426,210546,94213,105273,24
2026-08-10T12:18:51.528Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,7,188426,210546,94213,105273,24
2026-08-10T12:18:51.539Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,8,188402,210534,94201,105267,24
2026-08-10T12:18:51.548Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,9,188378,210522,94189,105261,24
2026-08-10T12:18:51.557Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,10,188426,210546,94213,105273,24
2026-08-10T12:18:51.566Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,11,188426,210546,94213,105273,24
2026-08-10T12:18:51.575Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,12,188426,210546,94213,105273,24
2026-08-10T12:18:51.584Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,13,188426,210546,94213,105273,24
2026-08-10T12:18:51.595Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,14,188426,210546,94213,105273,24
2026-08-10T12:18:51.603Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,15,188426,210546,94213,105273,24
2026-08-10T12:18:51.612Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,16,188426,210546,94213,105273,24
2026-08-10T12:18:51.620Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,17,188426,210546,94213,105273,24
2026-08-10T12:18:51.628Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,18,188426,210546,94213,105273,24
2026-08-10T12:18:51.636Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,19,188426,210546,94213,105273,24
2026-08-10T12:18:51.644Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,20,188426,210546,94213,105273,24
2026-08-10T12:18:51.654Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,21,188426,210546,94213,105273,24
2026-08-10T12:18:51.663Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,22,188426,210546,94213,105273,24
2026-08-10T12:18:51.671Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,23,188426,210546,94213,105273,24
2026-08-10T12:18:51.681Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,24,188426,210546,94213,105273,24
2026-08-10T12:18:51.690Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,25,188426,210546,94213,105273,24
2026-08-10T12:18:51.700Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,26,188426,210546,94213,105273,24
2026-08-10T12:18:51.710Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,27,188426,210546,94213,105273,24
2026-08-10T12:18:51.718Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,28,188426,210546,94213,105273,24
2026-08-10T12:18:51.727Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,29,188426,210546,94213,105273,24
2026-08-10T12:18:51.736Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,2,30,188426,210546,94213,105273,24
2026-08-10T12:18:51.748Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,1,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.760Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,2,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.773Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,3,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.785Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,4,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.795Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,5,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.806Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,6,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.816Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,7,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.826Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,8,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.837Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,9,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.847Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,10,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.857Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,11,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.868Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,12,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.878Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,13,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.887Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,14,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.898Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,15,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.908Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,16,471065,351964,94213,70392.8,24
2026-08-10T12:18:51.917Z,881d7d06b7a15e63d348079bfa26b21fd02e7eb6,hardhat,5,17,471065,351964,94213,70392.8,24
